objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
2929;Link 18972;18972;2040;Plantage Middenlaan;7438;396;316;162;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
2930;Link 18972;18972;2050;Plantage Middenlaan;8166;435;348;178;LINESTRING(4.9117661 52.3664226,4.9095757 52.3671805,4.9094097 52.3672158);LINESTRING(52.3664226 4.9117661,52.3671805 4.9095757,52.3672158 4.9094097);4.9105879;52.3668192
6922;Link 27716;27716;2019;Plantage Middenlaan;6066;321;256;131;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
6923;Link 27716;27716;2025;Plantage Middenlaan;4698;250;199;102;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
6924;Link 27716;27716;2030;Plantage Middenlaan;4999;266;212;108;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
6925;Link 27716;27716;2035;Plantage Middenlaan;5128;273;218;111;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
6926;Link 27716;27716;2040;Plantage Middenlaan;5330;284;227;116;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
6927;Link 27716;27716;2050;Plantage Middenlaan;5713;305;243;124;LINESTRING(4.9131837 52.3659267,4.9117661 52.3664226);LINESTRING(52.3659267 4.9131837,52.3664226 4.9117661);4.9124749;52.36617465
20033;Link 204125;204125;2019;Plantage Middenlaan;5318;281;225;115;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
20034;Link 204125;204125;2025;Plantage Middenlaan;3780;201;161;82;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
20035;Link 204125;204125;2030;Plantage Middenlaan;4073;216;173;88;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
20036;Link 204125;204125;2035;Plantage Middenlaan;4198;223;178;91;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
20037;Link 204125;204125;2040;Plantage Middenlaan;4426;236;189;97;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
20038;Link 204125;204125;2050;Plantage Middenlaan;4761;254;203;104;LINESTRING(4.9131837 52.3659267,4.9142083 52.365576);LINESTRING(52.3659267 4.9131837,52.365576 4.9142083);4.913696;52.36575135
